"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040309 ,2004-03-09,092741 ,CME ,00 ,092 ,   52178,    3624,   18397,      18,   36792,   16795,   40434,   35210,   11744,   16968,   52178,    3624,   18397,      18,   36792,   16795,   40434,   35210,   11744,   16968,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4383,   -1894,    2099,    -164,    6877,     667,    4819,    2602,    -436,    1781,  100.0,    6.9,   35.3,    0.0,   70.5,   32.2,   77.5,   67.5,   22.5,   32.5,  100.0,    6.9,   35.3,    0.0,   70.5,   32.2,   77.5,   67.5,   22.5,   32.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      3,     14,      3,     17,     11,     23,     25,     37,      3,     14,      3,     17,     11,     23,     25,      0,      0,      0,      0,      0,      0,      0,      0,    38.0,    34.3,    58.6,    50.4,    34.9,    28.6,    53.1,    43.5,    38.0,    34.3,    58.6,    50.4,    34.9,    28.6,    53.1,    43.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040302 ,2004-03-02,092741 ,CME ,00 ,092 ,   47795,    5518,   16298,     182,   29915,   16128,   35615,   32608,   12180,   15187,   47795,    5518,   16298,     182,   29915,   16128,   35615,   32608,   12180,   15187,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6274,   -7090,    9064,     174,   17343,   -6553,   10427,    2685,   -4153,    3589,  100.0,   11.5,   34.1,    0.4,   62.6,   33.7,   74.5,   68.2,   25.5,   31.8,  100.0,   11.5,   34.1,    0.4,   62.6,   33.7,   74.5,   68.2,   25.5,   31.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      3,     13,      2,     17,     12,     21,     26,     37,      3,     13,      2,     17,     12,     21,     26,      0,      0,      0,      0,      0,      0,      0,      0,    36.9,    35.7,    56.6,    50.4,    36.3,    31.7,    53.4,    45.5,    36.9,    35.7,    56.6,    50.4,    36.3,    31.7,    53.4,    45.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040224 ,2004-02-24,092741 ,CME ,00 ,092 ,   41521,   12608,    7234,       8,   12572,   22681,   25188,   29923,   16333,   11598,   41521,   12608,    7234,       8,   12572,   22681,   25188,   29923,   16333,   11598,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4481,   -6950,    -845,     -15,    4791,   -5534,   -2174,   -6394,   -2307,    1913,  100.0,   30.4,   17.4,    0.0,   30.3,   54.6,   60.7,   72.1,   39.3,   27.9,  100.0,   30.4,   17.4,    0.0,   30.3,   54.6,   60.7,   72.1,   39.3,   27.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,      9,      6,      1,     11,     12,     21,     18,     33,      9,      6,      1,     11,     12,     21,     18,      0,      0,      0,      0,      0,      0,      0,      0,    26.6,    42.0,    40.7,    58.3,    26.4,    38.6,    40.6,    54.9,    26.6,    42.0,    40.7,    58.3,    26.4,    38.6,    40.6,    54.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040217 ,2004-02-17,092741 ,CME ,00 ,092 ,   46002,   19558,    8079,      23,    7781,   28215,   27362,   36317,   18640,    9685,   46002,   19558,    8079,      23,    7781,   28215,   27362,   36317,   18640,    9685,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2162,     584,     108,       0,    -365,    2705,     219,    2813,    1943,    -651,  100.0,   42.5,   17.6,    0.0,   16.9,   61.3,   59.5,   78.9,   40.5,   21.1,  100.0,   42.5,   17.6,    0.0,   16.9,   61.3,   59.5,   78.9,   40.5,   21.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,     13,      7,      1,     11,     12,     25,     19,     39,     13,      7,      1,     11,     12,     25,     19,      0,      0,      0,      0,      0,      0,      0,      0,    23.9,    42.7,    38.4,    59.5,    23.9,    41.0,    38.4,    57.7,    23.9,    42.7,    38.4,    59.5,    23.9,    41.0,    38.4,    57.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040210 ,2004-02-10,092741 ,CME ,00 ,092 ,   43840,   18974,    7971,      23,    8146,   25510,   27143,   33504,   16697,   10336,   43840,   18974,    7971,      23,    8146,   25510,   27143,   33504,   16697,   10336,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2941,    3740,    2180,       2,   -2596,    1072,    1146,    3254,    1795,    -313,  100.0,   43.3,   18.2,    0.1,   18.6,   58.2,   61.9,   76.4,   38.1,   23.6,  100.0,   43.3,   18.2,    0.1,   18.6,   58.2,   61.9,   76.4,   38.1,   23.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,     12,      7,      1,     12,     11,     25,     18,     37,     12,      7,      1,     12,     11,     25,     18,      0,      0,      0,      0,      0,      0,      0,      0,    25.4,    44.4,    40.5,    59.9,    25.4,    42.1,    40.5,    57.6,    25.4,    44.4,    40.5,    59.9,    25.4,    42.1,    40.5,    57.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040203 ,2004-02-03,092741 ,CME ,00 ,092 ,   40899,   15234,    5791,      21,   10742,   24438,   25997,   30250,   14902,   10649,   40899,   15234,    5791,      21,   10742,   24438,   25997,   30250,   14902,   10649,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -937,   -3154,     382,       9,    4156,   -2173,    1011,   -1782,   -1948,     845,  100.0,   37.2,   14.2,    0.1,   26.3,   59.8,   63.6,   74.0,   36.4,   26.0,  100.0,   37.2,   14.2,    0.1,   26.3,   59.8,   63.6,   74.0,   36.4,   26.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      9,      5,      1,     14,      9,     24,     14,     34,      9,      5,      1,     14,      9,     24,     14,      0,      0,      0,      0,      0,      0,      0,      0,    23.8,    45.9,    39.1,    62.6,    23.8,    43.3,    39.1,    59.9,    23.8,    45.9,    39.1,    62.6,    23.8,    43.3,    39.1,    59.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040127 ,2004-01-27,092741 ,CME ,00 ,092 ,   41836,   18388,    5409,      12,    6586,   26611,   24986,   32032,   16850,    9804,   41836,   18388,    5409,      12,    6586,   26611,   24986,   32032,   16850,    9804,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      81,    4530,     583,       0,   -2438,     850,    2092,    1433,   -2011,   -1352,  100.0,   44.0,   12.9,    0.0,   15.7,   63.6,   59.7,   76.6,   40.3,   23.4,  100.0,   44.0,   12.9,    0.0,   15.7,   63.6,   59.7,   76.6,   40.3,   23.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     11,      6,      1,     11,      9,     23,     15,     34,     11,      6,      1,     11,      9,     23,     15,      0,      0,      0,      0,      0,      0,      0,      0,    24.9,    50.8,    39.5,    66.2,    24.9,    49.5,    39.5,    64.8,    24.9,    50.8,    39.5,    66.2,    24.9,    49.5,    39.5,    64.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040120 ,2004-01-20,092741 ,CME ,00 ,092 ,   41755,   13858,    4826,      12,    9024,   25761,   22894,   30599,   18861,   11156,   41755,   13858,    4826,      12,    9024,   25761,   22894,   30599,   18861,   11156,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -6833,   -5968,     273,       3,    2232,   -7461,   -3733,   -7185,   -3100,     352,  100.0,   33.2,   11.6,    0.0,   21.6,   61.7,   54.8,   73.3,   45.2,   26.7,  100.0,   33.2,   11.6,    0.0,   21.6,   61.7,   54.8,   73.3,   45.2,   26.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,      8,      5,      1,      9,      8,     18,     13,     28,      8,      5,      1,      9,      8,     18,     13,      0,      0,      0,      0,      0,      0,      0,      0,    25.9,    49.7,    40.3,    65.6,    25.9,    49.1,    40.3,    65.0,    25.9,    49.7,    40.3,    65.6,    25.9,    49.1,    40.3,    65.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040113 ,2004-01-13,092741 ,CME ,00 ,092 ,   48588,   19826,    4553,       9,    6792,   33222,   26627,   37784,   21961,   10804,   48588,   19826,    4553,       9,    6792,   33222,   26627,   37784,   21961,   10804,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1643,   -1372,    -440,       0,    1950,   -2481,     578,   -2921,   -2221,    1278,  100.0,   40.8,    9.4,    0.0,   14.0,   68.4,   54.8,   77.8,   45.2,   22.2,  100.0,   40.8,    9.4,    0.0,   14.0,   68.4,   54.8,   77.8,   45.2,   22.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     12,      5,      1,     12,     11,     25,     16,     36,     12,      5,      1,     12,     11,     25,     16,      0,      0,      0,      0,      0,      0,      0,      0,    23.1,    49.3,    36.8,    67.0,    23.1,    49.2,    36.8,    66.8,    23.1,    49.3,    36.8,    67.0,    23.1,    49.2,    36.8,    66.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE" ,040106 ,2004-01-06,092741 ,CME ,00 ,092 ,   50231,   21198,    4993,       9,    4842,   35703,   26049,   40705,   24182,    9526,   50231,   21198,    4993,       9,    4842,   35703,   26049,   40705,   24182,    9526,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1616,    -439,     139,       0,    -289,     814,    -728,     953,    2344,     663,  100.0,   42.2,    9.9,    0.0,    9.6,   71.1,   51.9,   81.0,   48.1,   19.0,  100.0,   42.2,    9.9,    0.0,    9.6,   71.1,   51.9,   81.0,   48.1,   19.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,     13,      5,      1,      7,     11,     21,     16,     33,     13,      5,      1,      7,     11,     21,     16,      0,      0,      0,      0,      0,      0,      0,      0,    23.3,    51.9,    36.6,    70.3,    23.3,    51.9,    36.6,    70.2,    23.3,    51.9,    36.6,    70.3,    23.3,    51.9,    36.6,    70.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 125,000 SWISS FRANCS)" ,"092741" ,"CME" ,"092"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041228 ,2004-12-28,095741 ,CME ,00 ,095 ,   85605,   54120,    6053,     666,   20840,   72692,   75626,   79411,    9979,    6194,   85605,   54120,    6053,     666,   20840,   72692,   75626,   79411,    9979,    6194,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -96,   -2976,     -24,     666,    2716,    -719,     406,     -77,    -502,     -19,  100.0,   63.2,    7.1,    0.8,   24.3,   84.9,   88.3,   92.8,   11.7,    7.2,  100.0,   63.2,    7.1,    0.8,   24.3,   84.9,   88.3,   92.8,   11.7,    7.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     88,     47,     12,      2,     15,     17,     64,     30,     88,     47,     12,      2,     15,     17,     64,     30,      0,      0,      0,      0,      0,      0,      0,      0,    34.1,    59.8,    49.9,    78.1,    34.1,    59.1,    49.9,    77.0,    34.1,    59.8,    49.9,    78.1,    34.1,    59.1,    49.9,    77.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041221 ,2004-12-21,095741 ,CME ,00 ,095 ,   85701,   57096,    6077,       0,   18124,   73411,   75220,   79488,   10481,    6213,   85701,   57096,    6077,       0,   18124,   73411,   75220,   79488,   10481,    6213,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2658,     730,    -179,    -197,    1406,    2163,    1939,    1787,     719,     871,  100.0,   66.6,    7.1,    0.0,   21.1,   85.7,   87.8,   92.8,   12.2,    7.2,  100.0,   66.6,    7.1,    0.0,   21.1,   85.7,   87.8,   92.8,   12.2,    7.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     85,     47,     10,      0,     15,     17,     62,     27,     85,     47,     10,      0,     15,     17,     62,     27,      0,      0,      0,      0,      0,      0,      0,      0,    34.4,    62.3,    51.9,    80.2,    34.4,    62.0,    51.9,    79.6,    34.4,    62.3,    51.9,    80.2,    34.4,    62.0,    51.9,    79.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041214 ,2004-12-14,095741 ,CME ,00 ,095 ,   83043,   56366,    6256,     197,   16718,   71248,   73281,   77701,    9762,    5342,   83043,   56366,    6256,     197,   16718,   71248,   73281,   77701,    9762,    5342,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -31626,  -10844,   -4963,    -366,  -18321,  -20600,  -29531,  -25929,   -2095,   -5697,  100.0,   67.9,    7.5,    0.2,   20.1,   85.8,   88.2,   93.6,   11.8,    6.4,  100.0,   67.9,    7.5,    0.2,   20.1,   85.8,   88.2,   93.6,   11.8,    6.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     84,     51,      7,      1,     13,     18,     64,     26,     84,     51,      7,      1,     13,     18,     64,     26,      0,      0,      0,      0,      0,      0,      0,      0,    35.5,    65.3,    53.2,    83.1,    35.5,    65.0,    53.2,    82.3,    35.5,    65.3,    53.2,    83.1,    35.5,    65.0,    53.2,    82.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041207 ,2004-12-07,095741 ,CME ,00 ,095 ,  114669,   67210,   11219,     563,   35039,   91848,  102812,  103630,   11857,   11039,  114669,   67210,   11219,     563,   35039,   91848,  102812,  103630,   11857,   11039,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   18230,    3754,     478,      51,   13781,   16008,   17586,   16537,     644,    1693,  100.0,   58.6,    9.8,    0.5,   30.6,   80.1,   89.7,   90.4,   10.3,    9.6,  100.0,   58.6,    9.8,    0.5,   30.6,   80.1,   89.7,   90.4,   10.3,    9.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    102,     55,     14,      5,     19,     22,     75,     41,    102,     55,     14,      5,     19,     22,     75,     41,      0,      0,      0,      0,      0,      0,      0,      0,    27.0,    41.4,    45.4,    62.5,    27.0,    35.1,    42.8,    56.2,    27.0,    41.4,    45.4,    62.5,    27.0,    35.1,    42.8,    56.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041130 ,2004-11-30,095741 ,CME ,00 ,095 ,   96439,   63456,   10741,     512,   21258,   75840,   85226,   87093,   11213,    9346,   96439,   63456,   10741,     512,   21258,   75840,   85226,   87093,   11213,    9346,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   14897,   10699,     968,     251,     420,   10319,   11370,   11538,    3527,    3359,  100.0,   65.8,   11.1,    0.5,   22.0,   78.6,   88.4,   90.3,   11.6,    9.7,  100.0,   65.8,   11.1,    0.5,   22.0,   78.6,   88.4,   90.3,   11.6,    9.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     95,     51,     12,      2,     12,     22,     64,     35,     95,     51,     12,      2,     12,     22,     64,     35,      0,      0,      0,      0,      0,      0,      0,      0,    30.9,    40.5,    49.4,    67.0,    30.9,    40.3,    49.4,    66.8,    30.9,    40.5,    49.4,    67.0,    30.9,    40.3,    49.4,    66.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041123 ,2004-11-23,095741 ,CME ,00 ,095 ,   81542,   52757,    9773,     261,   20838,   65521,   73856,   75555,    7686,    5987,   81542,   52757,    9773,     261,   20838,   65521,   73856,   75555,    7686,    5987,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   10999,    8506,    1860,     -89,    1113,    9362,    9530,   11133,    1469,    -134,  100.0,   64.7,   12.0,    0.3,   25.6,   80.4,   90.6,   92.7,    9.4,    7.3,  100.0,   64.7,   12.0,    0.3,   25.6,   80.4,   90.6,   92.7,    9.4,    7.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     90,     48,     11,      2,     13,     21,     61,     34,     90,     48,     11,      2,     13,     21,     61,     34,      0,      0,      0,      0,      0,      0,      0,      0,    33.4,    42.8,    51.9,    69.2,    33.4,    42.5,    51.8,    69.0,    33.4,    42.8,    51.9,    69.2,    33.4,    42.5,    51.8,    69.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041116 ,2004-11-16,095741 ,CME ,00 ,095 ,   70543,   44251,    7913,     350,   19725,   56159,   64326,   64422,    6217,    6121,   70543,   44251,    7913,     350,   19725,   56159,   64326,   64422,    6217,    6121,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5324,    5793,   -2006,    -162,    -992,    6900,    4639,    4732,     685,     592,  100.0,   62.7,   11.2,    0.5,   28.0,   79.6,   91.2,   91.3,    8.8,    8.7,  100.0,   62.7,   11.2,    0.5,   28.0,   79.6,   91.2,   91.3,    8.8,    8.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     85,     43,     10,      1,     13,     21,     57,     32,     85,     43,     10,      1,     13,     21,     57,     32,      0,      0,      0,      0,      0,      0,      0,      0,    32.9,    41.4,    51.7,    67.0,    32.9,    41.4,    51.6,    66.6,    32.9,    41.4,    51.7,    67.0,    32.9,    41.4,    51.6,    66.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041109 ,2004-11-09,095741 ,CME ,00 ,095 ,   65219,   38458,    9919,     512,   20717,   49259,   59687,   59690,    5532,    5529,   65219,   38458,    9919,     512,   20717,   49259,   59687,   59690,    5532,    5529,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6026,    8360,    1285,     -50,   -2758,    4168,    5552,    5403,     474,     623,  100.0,   59.0,   15.2,    0.8,   31.8,   75.5,   91.5,   91.5,    8.5,    8.5,  100.0,   59.0,   15.2,    0.8,   31.8,   75.5,   91.5,   91.5,    8.5,    8.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     81,     39,     14,      3,     12,     18,     52,     35,     81,     39,     14,      3,     12,     18,     52,     35,      0,      0,      0,      0,      0,      0,      0,      0,    35.7,    43.1,    57.6,    66.2,    35.7,    43.1,    57.5,    65.8,    35.7,    43.1,    57.6,    66.2,    35.7,    43.1,    57.5,    65.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE" ,041102 ,2004-11-02,095741 ,CME ,00 ,095 ,   59193,   30098,    8634,     562,   23475,   45091,   54135,   54287,    5058,    4906,   59193,   30098,    8634,     562,   23475,   45091,   54135,   54287,    5058,    4906,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1285,    -906,     261,     192,    -933,   -2200,   -1647,   -1747,     362,     462,  100.0,   50.8,   14.6,    0.9,   39.7,   76.2,   91.5,   91.7,    8.5,    8.3,  100.0,   50.8,   14.6,    0.9,   39.7,   76.2,   91.5,   91.7,    8.5,    8.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     78,     35,     14,      2,     13,     18,     49,     34,     78,     35,     14,      2,     13,     18,     49,     34,      0,      0,      0,      0,      0,      0,      0,      0,    34.2,    46.8,    53.7,    68.5,    34.0,    46.4,    53.5,    68.0,    34.2,    46.8,    53.7,    68.5,    34.0,    46.4,    53.5,    68.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)" ,"095741" ,"CME" ,"095"
